Rank,Country/Region,Tea consumption
1,Turkey,3.16 kg (6.96 lb)
2,Ireland,2.36 kg (5.21 lb)
3,United Kingdom,1.82 kg (4.01 lb)
4,Iran[2],1.50 kg (3.30 lb)
5,Pakistan[3],1.50 kg (3.30 lb)
6,Russia,1.38 kg (3.05 lb)
7,Morocco,1.22 kg (2.68 lb)
8,New Zealand,1.19 kg (2.63 lb)
9,Chile[4],1.19 kg (2.62 lb)
10,Egypt,1.01 kg (2.23 lb)
11,Poland,1.00 kg (2.20 lb)
12,Japan,0.97 kg (2.13 lb)
13,Saudi Arabia,0.90 kg (1.98 lb)
14,South Africa,0.81 kg (1.79 lb)
15,Netherlands,0.78 kg (1.72 lb)
16,Australia,0.75 kg (1.65 lb)
17,United Arab Emirates,0.72 kg (1.59 lb)
18,Germany,0.69 kg (1.52 lb)
19,Hong Kong,0.65 kg (1.43 lb)
20,Ukraine,0.58 kg (1.28 lb)
21,China,0.57 kg (1.25 lb)
22,Canada,0.51 kg (1.12 lb)
23,Malaysia,0.48 kg (1.06 lb)
24,Indonesia,0.46 kg (1.01 lb)
25,Switzerland,0.44 kg (0.97 lb)
26,Czech Republic,0.42 kg (0.93 lb)
27,Singapore,0.37 kg (0.81 lb)
28,Slovakia,0.36 kg (0.80 lb)
29,India,0.33 kg (0.72 lb)
30,Taiwan,0.29 kg (0.65 lb)
31,Sweden,0.29 kg (0.64 lb)
32,Hungary,0.28 kg (0.62 lb)
33,Norway,0.27 kg (0.60 lb)
34,Austria,0.27 kg (0.59 lb)
35,Finland,0.24 kg (0.54 lb)
36,United States,0.23 kg (0.50 lb)
37,Argentina,0.21 kg (0.47 lb)
38,Israel,0.20 kg (0.45 lb)
39,France,0.20 kg (0.44 lb)
40,Vietnam,0.20 kg (0.44 lb)
41,South Korea,0.17 kg (0.37 lb)
42,Spain,0.15 kg (0.32 lb)
43,Denmark,0.15 kg (0.32 lb)
44,Italy,0.14 kg (0.31 lb)
45,Belgium,0.13 kg (0.28 lb)
46,Bulgaria,0.11 kg (0.24 lb)
47,Romania,0.073 kg (0.16 lb)
48,Portugal,0.064 kg (0.14 lb)
49,Thailand,0.050 kg (0.11 lb)
50,Philippines,0.027 kg (0.06 lb)
51,Greece,0.023 kg (0.05 lb)
52,Venezuela,0.023 kg (0.05 lb)
53,Peru,0.023 kg (0.05 lb)
54,Colombia,0.018 kg (0.04 lb)
55,Brazil,0.018 kg (0.04 lb)
56,Mexico,0.014 kg (0.03 lb)
